id	emotion
34170_0002_A_12	0.2109428346157074,0.0478496290743351,0.045386895537376404,-0.0037168441340327263,0.21258921921253204,0.3282736539840698
34170_0002_A_14	0.10335550457239151,-0.012752082198858261,0.017624786123633385,0.014854413457214832,0.10606158524751663,0.18693897128105164
34170_0003_A_16	0.04014364629983902,-0.01678810641169548,0.05657794326543808,0.01561440248042345,0.3063585162162781,0.10812142491340637
34170_0003_A_17	0.27802178263664246,0.02443743124604225,-0.014574671164155006,0.03861827775835991,0.21399982273578644,0.4072933495044708
34170_0003_A_18	0.08246917277574539,0.1440323293209076,0.0338405966758728,0.0656752735376358,0.2220238596200943,0.43403685092926025
34170_0003_A_20	0.29911699891090393,0.13739992678165436,0.11820263415575027,0.0892312079668045,0.11431384831666946,0.6314614415168762
34170_0003_A_21	0.00440329872071743,-0.12387719750404358,0.07433473318815231,-0.11182881891727448,0.01789308339357376,0.1827414631843567
34170_0004_A_24	0.13889792561531067,0.13007888197898865,-0.06065836548805237,-0.10217030346393585,0.14043770730495453,0.2992352545261383
34170_0004_A_25	0.34094175696372986,0.11637577414512634,-0.011668311432003975,0.04609380289912224,0.11834443360567093,0.3934566378593445
34170_0004_A_26	0.3067823052406311,0.11443082988262177,-0.02745002694427967,0.04223940894007683,0.11103204637765884,0.35719484090805054
34170_0004_A_27	0.11315036565065384,0.16679148375988007,-0.0723307728767395,-0.09670834243297577,0.03615996986627579,0.18807509541511536
34170_0004_A_28	0.13336282968521118,0.09355264902114868,-0.13706666231155396,0.1240486353635788,0.34886449575424194,0.5675207376480103
34170_0005_A_31	0.251939058303833,0.2378188669681549,0.03408306837081909,-0.06267546117305756,0.1651570349931717,0.10555262863636017
34170_0005_A_33	0.2776719629764557,0.11585009098052979,-0.018009493127465248,-0.05404399707913399,0.18949653208255768,0.3318573832511902
34170_0005_A_35	0.2776932716369629,0.12038740515708923,0.005857964977622032,-0.08556140959262848,0.2684633731842041,0.4270705580711365
34170_0004_A_29	0.13287749886512756,0.06952323019504547,-0.15921998023986816,0.08791635930538177,0.38365280628204346,0.5249362587928772
34170_0005_A_34	0.1771838366985321,0.21761587262153625,0.09519647806882858,0.09782086312770844,0.2305363267660141,0.5747238993644714
34170_0005_A_36	-0.0240876916795969,0.05884689465165138,0.028509071096777916,-0.02190663293004036,0.1417255848646164,0.2242201864719391
34170_0005_A_32	0.14880365133285522,0.16106106340885162,0.0842536985874176,-0.032669443637132645,0.20545591413974762,0.29698967933654785
34170_0007_A_42	0.16908752918243408,0.23657482862472534,-0.008902410045266151,-0.08307422697544098,0.17221872508525848,0.2187615931034088
