id	emotion
34170_0002_A_12	0.04630477353930473,0.062482260167598724,0.05546378716826439,0.09029867500066757,0.07962162792682648,0.18296106159687042
34170_0002_A_14	0.046334195882081985,0.06244015693664551,0.05545828863978386,0.09026879817247391,0.07958856225013733,0.18301060795783997
34170_0003_A_16	0.04633725807070732,0.06246465444564819,0.05549229308962822,0.09028781205415726,0.0795927420258522,0.18297819793224335
34170_0003_A_17	0.04632262513041496,0.062463440001010895,0.05549640581011772,0.09033597260713577,0.07952651381492615,0.1829991340637207
34170_0003_A_18	0.04632037505507469,0.06242566555738449,0.055501364171504974,0.09031595289707184,0.07962814718484879,0.18301592767238617
34170_0003_A_20	0.04635244235396385,0.06246594339609146,0.05548643693327904,0.09032472223043442,0.07960780709981918,0.18296337127685547
34170_0003_A_21	0.04634369537234306,0.062412552535533905,0.05547337606549263,0.09027623385190964,0.07958625257015228,0.1829964965581894
34170_0004_A_24	0.04635877534747124,0.06242544949054718,0.05549723282456398,0.09027756750583649,0.07965504378080368,0.18295148015022278
34170_0004_A_25	0.04628681764006615,0.06247268617153168,0.05541623756289482,0.09038335084915161,0.07959995418787003,0.18299874663352966
34170_0004_A_26	0.04627455398440361,0.06240500509738922,0.055486757308244705,0.09036394208669662,0.0796075239777565,0.1829828917980194
34170_0004_A_27	0.04632269963622093,0.06244562566280365,0.0555008128285408,0.09029654413461685,0.0796201154589653,0.1830018013715744
34170_0004_A_28	0.04633529111742973,0.06240754574537277,0.05545732378959656,0.09029970318078995,0.07961484044790268,0.18295586109161377
34170_0005_A_31	0.046319011598825455,0.06244327872991562,0.055543430149555206,0.09029675275087357,0.07963542640209198,0.1829802244901657
34170_0005_A_33	0.046315159648656845,0.06250402331352234,0.05541754886507988,0.09038480371236801,0.07958708703517914,0.18290233612060547
34170_0005_A_35	0.04631739482283592,0.06244509667158127,0.05543917790055275,0.09032481163740158,0.07955043017864227,0.1829863339662552
34170_0004_A_29	0.04628844931721687,0.062436334788799286,0.055491164326667786,0.09029898792505264,0.07964415103197098,0.1830240786075592
34170_0005_A_34	0.04629639908671379,0.06245209276676178,0.05539410561323166,0.09039340913295746,0.07959781587123871,0.1829567700624466
34170_0005_A_36	0.04634689912199974,0.06246020644903183,0.05545809492468834,0.09030459076166153,0.07959531247615814,0.18299272656440735
34170_0005_A_32	0.046332795172929764,0.06241931766271591,0.05545628443360329,0.09031262248754501,0.07956869900226593,0.1829853504896164
34170_0007_A_42	0.04632788524031639,0.0625084862112999,0.05546491593122482,0.09029695391654968,0.07959557324647903,0.18298321962356567
34170_0007_A_43	0.04635082557797432,0.06248562037944794,0.05550110340118408,0.09029265493154526,0.07961532473564148,0.18300917744636536
34170_0007_A_44	0.04630481079220772,0.06245989352464676,0.055553942918777466,0.09033302962779999,0.07964728772640228,0.1829417645931244
34170_0007_A_45	0.0463327132165432,0.06246715039014816,0.0555267333984375,0.09031791985034943,0.07956470549106598,0.18298396468162537
34170_0007_A_46	0.04634328559041023,0.06247387081384659,0.05551029369235039,0.09029719978570938,0.07957145571708679,0.18291155993938446
34170_0007_A_47	0.04631420597434044,0.062469467520713806,0.055473003536462784,0.09034780412912369,0.07957762479782104,0.1829443871974945
34170_0008_A_49	0.04634189233183861,0.06246542930603027,0.055460743606090546,0.09030655771493912,0.07955949008464813,0.18300148844718933
34170_0008_A_50	0.046313200145959854,0.06245914101600647,0.05551202595233917,0.090349942445755,0.07957583665847778,0.18293128907680511
34170_0008_A_51	0.04638015106320381,0.06243322789669037,0.05547802150249481,0.09033142030239105,0.07960741221904755,0.1830032467842102
34170_0009_A_54	0.046313103288412094,0.06238674372434616,0.05549414083361626,0.09026714414358139,0.07959543913602829,0.1829703152179718
34170_0009_A_56	0.046330858021974564,0.062424398958683014,0.055459462106227875,0.09034013003110886,0.07956940680742264,0.18300549685955048
34170_0009_A_58	0.04629231616854668,0.06248366832733154,0.055491749197244644,0.09031651169061661,0.07955652475357056,0.1829376518726349
34170_0009_A_59	0.04632125422358513,0.06245103478431702,0.05546308308839798,0.09035894274711609,0.07959134876728058,0.18300223350524902
34170_0009_A_60	0.04628932103514671,0.062468551099300385,0.05547284707427025,0.09038639813661575,0.07957535237073898,0.18302467465400696
34170_0009_A_61	0.04631439968943596,0.062441907823085785,0.055528443306684494,0.09034384042024612,0.07959812879562378,0.1829637736082077
34170_0009_A_62	0.04630933329463005,0.06246773898601532,0.05546563118696213,0.0903126522898674,0.07957453280687332,0.1829533576965332
34170_0009_A_63	0.04633806273341179,0.06242700666189194,0.0554237924516201,0.09025276452302933,0.07965566962957382,0.18298688530921936
34170_0009_A_64	0.04631124064326286,0.06245270371437073,0.05544571205973625,0.0903281420469284,0.07962433993816376,0.18299202620983124
34170_0010_A_66	0.04629911109805107,0.06247007101774216,0.055472481995821,0.09029125422239304,0.07959316670894623,0.18300020694732666
34170_0010_A_67	0.04632338508963585,0.06246398389339447,0.055480360984802246,0.09033093601465225,0.07957789301872253,0.18295630812644958
34170_0011_A_71	0.04634816572070122,0.06248094141483307,0.055475641041994095,0.09032860398292542,0.07958719879388809,0.18295210599899292
34170_0011_A_74	0.0463411770761013,0.06244966387748718,0.05554278567433357,0.0903194472193718,0.07959641516208649,0.18300728499889374
34170_0011_A_76	0.04630820080637932,0.0624864399433136,0.0554400235414505,0.09035932272672653,0.07954850792884827,0.18292440474033356
34170_0011_A_78	0.04634061083197594,0.06241849064826965,0.05545717477798462,0.09031352400779724,0.0795835480093956,0.18300475180149078
34170_0011_A_80	0.04626842960715294,0.062430210411548615,0.055523838847875595,0.09039539843797684,0.07958303391933441,0.1829984039068222
34170_0011_A_81	0.04628637805581093,0.06247570365667343,0.05554649606347084,0.09036674350500107,0.07960458099842072,0.18300850689411163
34170_0012_A_83	0.04632015898823738,0.06247350573539734,0.055493008345365524,0.09028938412666321,0.07956469804048538,0.18298828601837158
34170_0012_A_84	0.04639440402388573,0.062442876398563385,0.05548037961125374,0.09028948098421097,0.07955213636159897,0.1829092651605606
34170_0012_A_85	0.04631538316607475,0.06243285536766052,0.05546237528324127,0.09027448296546936,0.07958001643419266,0.1829482764005661
34170_0012_A_86	0.046352144330739975,0.06246507167816162,0.05548040568828583,0.09031163156032562,0.07954313606023788,0.1829840987920761
34170_0012_A_87	0.046305637806653976,0.06244972348213196,0.05547825247049332,0.09030290693044662,0.07959342747926712,0.182961568236351
34170_0012_A_88	0.046299148350954056,0.0624188631772995,0.055493563413619995,0.09031355381011963,0.07957366853952408,0.1829376518726349
34170_0012_A_89	0.046320248395204544,0.062449969351291656,0.05544567480683327,0.09034667909145355,0.0795704647898674,0.18292754888534546
34170_0012_A_90	0.04632222279906273,0.062476836144924164,0.0554848238825798,0.09032251685857773,0.07958310842514038,0.18297456204891205
34170_0012_A_92	0.04630688950419426,0.06243974715471268,0.055526651442050934,0.09031573683023453,0.07964655011892319,0.18294130265712738
34170_0012_A_94	0.046302612870931625,0.062458477914333344,0.055495791137218475,0.09032009541988373,0.07956138998270035,0.18299494683742523
34170_0012_A_96	0.046334754675626755,0.06244558095932007,0.05546150356531143,0.09032837301492691,0.07960635423660278,0.18298925459384918
34170_0012_A_98	0.04628380760550499,0.06245803087949753,0.05544132739305496,0.09033676981925964,0.07957947254180908,0.182954803109169
34170_0012_A_99	0.04629210755228996,0.062453076243400574,0.05548657104372978,0.09035024046897888,0.0795968770980835,0.18297015130519867
34170_0012_A_100	0.04629160091280937,0.06247635930776596,0.05544803664088249,0.09036143869161606,0.0795268639922142,0.18298372626304626
34170_0012_A_101	0.04633287712931633,0.06241557002067566,0.05545338988304138,0.09032190591096878,0.07959737628698349,0.18295921385288239
34170_0013_A_103	0.04633453115820885,0.06251927465200424,0.05545835196971893,0.09033820778131485,0.07963073253631592,0.1829947680234909
34170_0013_A_104	0.04635254666209221,0.06249438226222992,0.05546364560723305,0.09032589942216873,0.07958929985761642,0.1829761117696762
34170_0013_A_105	0.046320591121912,0.06251173466444016,0.055466603487730026,0.09028508514165878,0.07959681004285812,0.18301795423030853
34170_0013_A_106	0.04633117839694023,0.06243208050727844,0.05550205335021019,0.090313620865345,0.07958057522773743,0.1830078363418579
34170_0013_A_107	0.046401794999837875,0.062452174723148346,0.05544910207390785,0.09027319401502609,0.07967759668827057,0.18295235931873322
34170_0013_A_108	0.04632702097296715,0.06242363899946213,0.055433597415685654,0.09030304849147797,0.07960902154445648,0.18299342691898346
34170_0013_A_109	0.046331118792295456,0.06244964152574539,0.05548308417201042,0.09028399735689163,0.0795835331082344,0.18294896185398102
34170_0013_A_110	0.046340931206941605,0.06245657056570053,0.05548917129635811,0.09030720591545105,0.07962401956319809,0.18301883339881897
34170_0014_A_112	0.04628829285502434,0.06243201345205307,0.05544302612543106,0.09036914259195328,0.0795762836933136,0.18298567831516266
34170_0014_A_113	0.04626035317778587,0.06246387958526611,0.05540291965007782,0.0903569832444191,0.07955686002969742,0.1829981654882431
34170_0015_A_115	0.04630103334784508,0.06243225932121277,0.05547722801566124,0.09027960896492004,0.0796039029955864,0.18295463919639587
34170_0015_A_116	0.04625672474503517,0.0624065101146698,0.05544571951031685,0.09029816091060638,0.07960846275091171,0.1829676628112793
34170_0015_A_117	0.04630007967352867,0.06246006488800049,0.055453959852457047,0.09026910364627838,0.07960651069879532,0.1829056292772293
34170_0015_A_118	0.046291153877973557,0.06244596093893051,0.055453795939683914,0.09033723920583725,0.07957140356302261,0.18292725086212158
34170_0015_A_119	0.046329300850629807,0.06241928040981293,0.055481601506471634,0.09030377119779587,0.07964814454317093,0.18299949169158936
34170_0015_A_120	0.0462864451110363,0.06246437132358551,0.055479615926742554,0.0903436541557312,0.07959255576133728,0.1829833686351776
34170_0015_A_121	0.04629753902554512,0.06252965331077576,0.055405743420124054,0.09035905450582504,0.07958212494850159,0.1829170137643814
34170_0016_A_123	0.04632064327597618,0.06241173297166824,0.05546845868229866,0.0903356596827507,0.0795765370130539,0.18298682570457458
34170_0016_A_124	0.04629756137728691,0.06242222338914871,0.05547216907143593,0.09031682461500168,0.07959918677806854,0.1829611212015152
34170_0016_A_125	0.04636264964938164,0.06246480345726013,0.055462609976530075,0.09032084792852402,0.0796414166688919,0.18296615779399872
34170_0016_A_126	0.04633096978068352,0.0624394416809082,0.05544878542423248,0.09034352749586105,0.07959289848804474,0.18293626606464386
34170_0016_A_127	0.046331193298101425,0.0624091774225235,0.05545487627387047,0.09030481427907944,0.07960107177495956,0.1830163449048996
34170_0016_A_128	0.046310167759656906,0.06245272606611252,0.05548176169395447,0.09029499441385269,0.07960938662290573,0.18298985064029694
34170_0016_A_129	0.04632312431931496,0.06243974715471268,0.055529236793518066,0.09034300595521927,0.07964575290679932,0.18302462995052338
34170_0016_A_130	0.046343233436346054,0.06242702156305313,0.055450472980737686,0.09030265361070633,0.07959312200546265,0.18294157087802887
34170_0016_A_131	0.04630301520228386,0.062461093068122864,0.055443644523620605,0.09037497639656067,0.07955773174762726,0.18293443322181702
34170_0016_A_132	0.046354617923498154,0.06241150200366974,0.05549781024456024,0.09032806009054184,0.07958951592445374,0.18297463655471802
34170_0016_A_133	0.04630682244896889,0.06253577768802643,0.0554359033703804,0.09036315977573395,0.07964301854372025,0.18291176855564117
34170_0016_A_134	0.04624665901064873,0.06251663714647293,0.055400300770998,0.0903255045413971,0.0795959010720253,0.18290042877197266
34170_0016_A_135	0.04630174860358238,0.0624438151717186,0.05544699355959892,0.09032861888408661,0.0796186774969101,0.18290628492832184
34170_0016_A_136	0.04631577059626579,0.0624125599861145,0.05551506206393242,0.09031491726636887,0.0795951709151268,0.1830015778541565
34170_0017_A_139	0.04634810611605644,0.062408752739429474,0.055499475449323654,0.09028872102499008,0.07964522391557693,0.18295954167842865
34170_0017_A_140	0.04625887796282768,0.06245899200439453,0.055477894842624664,0.0903174877166748,0.07959332317113876,0.18293510377407074
34170_0017_A_141	0.04627617821097374,0.06247919052839279,0.05547510087490082,0.09033358842134476,0.0795983374118805,0.1830092817544937
34170_0017_A_142	0.04631296917796135,0.062392182648181915,0.05543411150574684,0.0903341993689537,0.0796341672539711,0.1829669326543808
34170_0017_A_143	0.0463448129594326,0.06242950260639191,0.0554971769452095,0.09029879420995712,0.07960281521081924,0.18293966352939606
34170_0017_A_144	0.046318989247083664,0.062471576035022736,0.0554925836622715,0.09029049426317215,0.07960734516382217,0.18298128247261047
34170_0017_A_145	0.04632013663649559,0.062455594539642334,0.055457182228565216,0.09034406393766403,0.07959482073783875,0.182980015873909
34170_0017_A_146	0.04631277546286583,0.06244201958179474,0.055401742458343506,0.0903443992137909,0.0796668604016304,0.18297772109508514
34170_0017_A_147	0.046284254640340805,0.06247902661561966,0.055487290024757385,0.09028828889131546,0.07966051995754242,0.1830115169286728
34170_0017_A_148	0.046345848590135574,0.062403157353401184,0.05550318583846092,0.09030528366565704,0.07959852367639542,0.18295682966709137
34170_0017_A_149	0.046300049871206284,0.06243760138750076,0.055457744747400284,0.09035338461399078,0.07958187907934189,0.182972714304924
34170_0017_A_150	0.04631957784295082,0.062471769750118256,0.055464472621679306,0.09030435979366302,0.07958899438381195,0.18296757340431213
34170_0017_A_151	0.04637094959616661,0.06249289959669113,0.05554036796092987,0.09028839319944382,0.07957572489976883,0.1829759180545807
34170_0017_A_152	0.0463252030313015,0.06251376867294312,0.05545371398329735,0.09036649018526077,0.07954778522253036,0.18297690153121948
34170_0017_A_153	0.046330202370882034,0.06240706890821457,0.05543266236782074,0.09030196815729141,0.07961312681436539,0.1829695850610733
34170_0017_A_154	0.04633873328566551,0.0624801442027092,0.055427905172109604,0.09026108682155609,0.0796249657869339,0.1829659789800644
34170_0017_A_155	0.04632394388318062,0.06245235353708267,0.05548252537846565,0.09035617858171463,0.07961093634366989,0.18299108743667603
34170_0017_A_156	0.04632510617375374,0.0624670535326004,0.05551522597670555,0.09034967422485352,0.0795774832367897,0.1830120086669922
34170_0017_A_157	0.04630989953875542,0.06242673844099045,0.05547165498137474,0.090371273458004,0.07963714748620987,0.18296287953853607
34170_0017_A_158	0.046358030289411545,0.0624508336186409,0.0555119626224041,0.0902903750538826,0.07962821424007416,0.183004692196846
